iter	Passed	Remaining
0	23	23008
1	49	24715
2	75	25164
3	104	25980
4	131	26078
5	156	25924
6	174	24707
7	200	24853
8	226	24886
9	247	24518
10	272	24543
11	298	24577
12	323	24566
13	348	24577
14	375	24636
15	402	24727
16	427	24732
17	446	24350
18	476	24626
19	503	24663
20	530	24740
21	557	24778
22	583	24766
23	609	24770
24	635	24767
25	660	24751
26	692	24960
27	721	25059
28	750	25120
29	777	25146
30	803	25128
31	829	25097
32	855	25067
33	868	24669
34	895	24678
35	920	24646
36	946	24642
37	972	24615
38	998	24608
39	1024	24576
40	1049	24543
41	1076	24559
42	1150	25607
43	1197	26016
44	1229	26097
45	1261	26163
46	1294	26240
47	1325	26290
48	1359	26389
49	1389	26406
50	1411	26274
51	1440	26268
52	1471	26287
53	1508	26420
54	1539	26452
55	1568	26447
56	1598	26445
57	1630	26480
58	1660	26484
59	1696	26572
60	1727	26597
61	1758	26609
62	1792	26661
63	1822	26659
64	1851	26635
65	1885	26679
66	1914	26663
67	1942	26630
68	1973	26630
69	2002	26605
70	2033	26612
71	2064	26605
72	2077	26382
73	2114	26454
74	2148	26495
75	2175	26448
76	2203	26410
77	2228	26337
78	2254	26288
79	2282	26245
80	2311	26231
81	2344	26248
82	2374	26231
83	2401	26183
84	2431	26177
85	2459	26139
86	2485	26081
87	2514	26059
88	2544	26049
89	2571	25996
90	2597	25942
91	2627	25935
92	2658	25922
93	2688	25916
94	2720	25915
95	2750	25904
96	2782	25906
97	2813	25900
98	2842	25872
99	2872	25856
100	2904	25852
101	2934	25837
102	2966	25833
103	2996	25812
104	3008	25643
105	3038	25622
106	3069	25614
107	3098	25594
108	3132	25605
109	3161	25579
110	3190	25555
111	3201	25383
112	3233	25382
113	3263	25361
114	3293	25344
115	3347	25512
116	3378	25496
117	3408	25478
118	3440	25474
119	3470	25450
120	3503	25451
121	3533	25432
122	3561	25397
123	3593	25388
124	3624	25372
125	3655	25353
126	3684	25325
127	3712	25294
128	3747	25303
129	3776	25274
130	3807	25254
131	3834	25213
132	3868	25215
133	3898	25196
134	3929	25176
135	3962	25171
136	3994	25164
137	4024	25136
138	4053	25105
139	4082	25080
140	4117	25086
141	4146	25053
142	4176	25031
143	4209	25020
144	4240	25005
145	4271	24983
146	4303	24970
147	4334	24951
148	4365	24932
149	4396	24910
150	4425	24885
151	4456	24859
152	4489	24856
153	4520	24833
154	4550	24806
155	4582	24792
156	4614	24779
157	4645	24754
158	4676	24732
159	4708	24717
160	4737	24687
161	4766	24654
162	4799	24646
163	4830	24625
164	4860	24598
165	4891	24577
166	4921	24547
167	4950	24514
168	4981	24496
169	5011	24470
170	5043	24448
171	5072	24420
172	5104	24399
173	5135	24376
174	5146	24260
175	5176	24236
176	5210	24228
177	5240	24200
178	5270	24173
179	5301	24150
180	5335	24144
181	5364	24111
182	5397	24096
183	5427	24071
184	5457	24042
185	5493	24042
186	5523	24014
187	5558	24006
188	5590	23989
189	5621	23965
190	5651	23939
191	5680	23906
192	5713	23892
193	5743	23864
194	5775	23843
195	5806	23820
196	5836	23790
197	5866	23761
198	5902	23757
199	5936	23747
200	5965	23715
201	5997	23691
202	6027	23664
203	6057	23637
204	6093	23631
205	6126	23611
206	6154	23578
207	6187	23559
208	6215	23525
209	6245	23496
210	6275	23467
211	6309	23452
212	6340	23425
213	6368	23392
214	6397	23359
215	6429	23338
216	6460	23311
217	6492	23289
218	6522	23260
219	6552	23232
220	6589	23226
221	6621	23204
222	6650	23173
223	6681	23146
224	6712	23119
225	6742	23093
226	6774	23067
227	6805	23044
228	6836	23015
229	6867	22990
230	6895	22955
231	6925	22924
232	6953	22891
233	6988	22877
234	7020	22854
235	7054	22836
236	7085	22811
237	7121	22802
238	7149	22765
239	7180	22738
240	7211	22710
241	7239	22676
242	7268	22643
243	7297	22610
244	7328	22584
245	7358	22554
246	7388	22525
247	7419	22497
248	7448	22465
249	7477	22433
250	7506	22401
251	7538	22375
252	7568	22347
253	7597	22315
254	7627	22285
255	7661	22266
256	7694	22246
257	7727	22223
258	7757	22193
259	7790	22172
260	7822	22149
261	7854	22123
262	7883	22093
263	7914	22065
264	7945	22036
265	7978	22015
266	8007	21983
267	8037	21952
268	8067	21921
269	8098	21894
270	8132	21876
271	8162	21846
272	8194	21821
273	8227	21800
274	8257	21770
275	8288	21742
276	8317	21710
277	8346	21676
278	8380	21656
279	8416	21642
280	8448	21617
281	8480	21592
282	8511	21563
283	8540	21531
284	8570	21501
285	8601	21473
286	8631	21442
287	8660	21410
288	8692	21384
289	8726	21364
290	8757	21337
291	8788	21310
292	8818	21278
293	8848	21248
294	8879	21221
295	8913	21199
296	8942	21167
297	8971	21134
298	9001	21103
299	9033	21078
300	9066	21054
301	9098	21028
302	9129	21001
303	9159	20970
304	9191	20944
305	9221	20915
306	9253	20888
307	9286	20864
308	9319	20841
309	9351	20814
310	9383	20788
311	9414	20761
312	9444	20729
313	9474	20698
314	9507	20675
315	9538	20646
316	9569	20617
317	9599	20588
318	9627	20552
319	9657	20523
320	9691	20500
321	9721	20468
322	9752	20440
323	9785	20416
324	9818	20391
325	9848	20360
326	9879	20334
327	9913	20310
328	9942	20278
329	9973	20248
330	10004	20219
331	10034	20189
332	10064	20158
333	10094	20128
334	10123	20096
335	10152	20063
336	10185	20039
337	10216	20009
338	10244	19975
339	10277	19949
340	10306	19917
341	10335	19885
342	10365	19853
343	10395	19823
344	10424	19791
345	10453	19758
346	10485	19732
347	10517	19705
348	10548	19676
349	10581	19650
350	10612	19621
351	10644	19594
352	10676	19568
353	10709	19542
354	10737	19509
355	10767	19477
356	10799	19450
357	10830	19421
358	10858	19388
359	10889	19359
360	10918	19326
361	10948	19296
362	10979	19267
363	11008	19234
364	11039	19205
365	11069	19175
366	11101	19148
367	11130	19115
368	11158	19082
369	11197	19065
370	11232	19044
371	11264	19016
372	11294	18984
373	11323	18952
374	11353	18921
375	11387	18897
376	11417	18868
377	11447	18836
378	11480	18810
379	11511	18781
380	11543	18753
381	11573	18723
382	11604	18693
383	11633	18661
384	11665	18634
385	11701	18613
386	11733	18584
387	11763	18554
388	11795	18526
389	11827	18499
390	11860	18472
391	11899	18456
392	11930	18426
393	11960	18396
394	11993	18370
395	12025	18341
396	12056	18312
397	12092	18290
398	12122	18259
399	12150	18226
400	12181	18196
401	12212	18166
402	12243	18138
403	12275	18109
404	12306	18080
405	12337	18050
406	12366	18018
407	12401	17994
408	12430	17962
409	12465	17937
410	12494	17905
411	12523	17874
412	12554	17843
413	12586	17815
414	12617	17786
415	12647	17755
416	12683	17732
417	12716	17706
418	12744	17672
419	12774	17641
420	12807	17613
421	12840	17586
422	12871	17556
423	12899	17524
424	12929	17492
425	12959	17461
426	12989	17430
427	13020	17401
428	13052	17372
429	13082	17341
430	13111	17309
431	13142	17280
432	13173	17249
433	13205	17221
434	13237	17194
435	13269	17164
436	13300	17135
437	13331	17105
438	13361	17074
439	13392	17045
440	13426	17019
441	13455	16986
442	13486	16956
443	13516	16925
444	13546	16895
445	13576	16863
446	13606	16833
447	13637	16802
448	13666	16771
449	13697	16741
450	13726	16709
451	13757	16679
452	13787	16648
453	13818	16619
454	13852	16592
455	13882	16562
456	13911	16529
457	13942	16500
458	13982	16480
459	14017	16455
460	14064	16444
461	14096	16414
462	14127	16385
463	14158	16355
464	14190	16326
465	14221	16296
466	14253	16267
467	14285	16238
468	14318	16211
469	14349	16181
470	14382	16153
471	14418	16128
472	14448	16098
473	14478	16067
474	14511	16038
475	14540	16006
476	14601	16009
477	14643	15991
478	14675	15962
479	14714	15941
480	14776	15943
481	14805	15911
482	14835	15879
483	14866	15849
484	14899	15820
485	14929	15790
486	14961	15760
487	14991	15729
488	15023	15699
489	15054	15669
490	15084	15637
491	15116	15608
492	15148	15578
493	15177	15545
494	15208	15515
495	15242	15488
496	15272	15456
497	15301	15424
498	15329	15391
499	15358	15358
500	15389	15328
501	15420	15297
502	15452	15267
503	15483	15237
504	15513	15206
505	15542	15173
506	15572	15142
507	15606	15115
508	15639	15086
509	15665	15051
510	15696	15020
511	15730	14993
512	15762	14963
513	15789	14929
514	15822	14900
515	15849	14866
516	15876	14832
517	15906	14800
518	15932	14765
519	15963	14735
520	15993	14704
521	16024	14674
522	16054	14642
523	16082	14609
524	16111	14576
525	16140	14545
526	16170	14513
527	16201	14482
528	16232	14452
529	16260	14420
530	16295	14392
531	16324	14360
532	16355	14330
533	16382	14296
534	16411	14263
535	16440	14232
536	16467	14197
537	16498	14167
538	16526	14134
539	16557	14104
540	16588	14073
541	16617	14042
542	16648	14012
543	16677	13979
544	16704	13945
545	16730	13911
546	16760	13880
547	16788	13847
548	16817	13815
549	16845	13782
550	16882	13757
551	16912	13725
552	16937	13691
553	16968	13660
554	16995	13626
555	17026	13596
556	17054	13563
557	17083	13532
558	17116	13503
559	17146	13472
560	17177	13441
561	17208	13411
562	17237	13379
563	17267	13348
564	17302	13321
565	17334	13291
566	17364	13261
567	17398	13232
568	17445	13214
569	17476	13184
570	17508	13153
571	17536	13121
572	17567	13091
573	17597	13059
574	17629	13030
575	17662	13001
576	17695	12972
577	17726	12942
578	17757	12911
579	17790	12882
580	17822	12852
581	17851	12821
582	17884	12792
583	17916	12762
584	17948	12732
585	17979	12702
586	18009	12671
587	18038	12638
588	18067	12607
589	18097	12575
590	18124	12543
591	18154	12511
592	18183	12479
593	18218	12452
594	18250	12422
595	18279	12390
596	18311	12361
597	18340	12329
598	18373	12300
599	18401	12267
600	18434	12238
601	18463	12206
602	18488	12172
603	18516	12139
604	18543	12106
605	18569	12073
606	18595	12039
607	18623	12007
608	18656	11978
609	18683	11945
610	18710	11912
611	18736	11878
612	18761	11844
613	18787	11811
614	18814	11777
615	18840	11744
616	18866	11711
617	18892	11677
618	18918	11644
619	18945	11611
620	18971	11578
621	18998	11545
622	19024	11512
623	19050	11478
624	19076	11445
625	19108	11416
626	19135	11383
627	19162	11350
628	19188	11318
629	19214	11284
630	19248	11256
631	19273	11222
632	19300	11189
633	19327	11157
634	19353	11124
635	19381	11092
636	19408	11060
637	19434	11027
638	19460	10994
639	19486	10961
640	19513	10928
641	19539	10895
642	19564	10862
643	19590	10829
644	19617	10797
645	19643	10764
646	19669	10731
647	19695	10698
648	19720	10665
649	19747	10633
650	19773	10600
651	19800	10568
652	19829	10537
653	19860	10506
654	19886	10474
655	19912	10442
656	19938	10409
657	19964	10376
658	19991	10344
659	20016	10311
660	20043	10279
661	20071	10247
662	20097	10215
663	20123	10183
664	20149	10150
665	20176	10118
666	20201	10085
667	20227	10053
668	20253	10020
669	20279	9988
670	20305	9956
671	20331	9923
672	20358	9891
673	20384	9859
674	20411	9827
675	20441	9797
676	20467	9765
677	20495	9733
678	20522	9702
679	20549	9670
680	20575	9638
681	20602	9606
682	20628	9574
683	20655	9542
684	20681	9510
685	20706	9478
686	20732	9445
687	20758	9413
688	20784	9381
689	20810	9349
690	20837	9317
691	20863	9286
692	20889	9254
693	20916	9222
694	20942	9190
695	20967	9158
696	20993	9126
697	21019	9094
698	21053	9065
699	21079	9034
700	21106	9002
701	21133	8971
702	21159	8939
703	21186	8907
704	21213	8876
705	21240	8845
706	21267	8813
707	21294	8782
708	21321	8751
709	21347	8719
710	21373	8687
711	21401	8656
712	21427	8625
713	21452	8593
714	21478	8561
715	21504	8529
716	21530	8498
717	21557	8467
718	21583	8435
719	21612	8404
720	21638	8373
721	21672	8344
722	21698	8313
723	21725	8282
724	21751	8250
725	21779	8219
726	21807	8188
727	21836	8158
728	21863	8127
729	21889	8096
730	21916	8065
731	21942	8033
732	21968	8002
