iter	RMSE
0	1.233890277
1	1.189829399
2	1.147510307
3	1.107813782
4	1.071976533
5	1.037417639
6	1.007229818
7	0.9785790413
8	0.9509615766
9	0.9253309926
10	0.9015179585
11	0.8803293118
12	0.8604552838
13	0.8407429347
14	0.8226731884
15	0.8056207421
16	0.7903356292
17	0.7768725201
18	0.7634428741
19	0.7516336807
20	0.7400257241
21	0.7298549181
22	0.7204850104
23	0.7114162331
24	0.702836701
25	0.6918081697
26	0.6813509439
27	0.6722204582
28	0.6630730629
29	0.6547332951
30	0.6471533917
31	0.6393189458
32	0.6331455201
33	0.6286041348
34	0.623099596
35	0.6184103044
36	0.6135463686
37	0.608995168
38	0.6045867189
39	0.6003658275
40	0.596969185
41	0.5932093915
42	0.5900442138
43	0.5874501768
44	0.5846151436
45	0.5822271086
46	0.5799126428
47	0.57759189
48	0.5753258674
49	0.5738038704
50	0.5724068021
51	0.5704441763
52	0.5688996498
53	0.5673852725
54	0.5658408591
55	0.5646558796
56	0.5633068139
57	0.5620843706
58	0.5599459065
59	0.5584398181
60	0.5567814043
61	0.5553354075
62	0.5539082769
63	0.5520737383
64	0.5508613031
65	0.5495467025
66	0.5485080491
67	0.5472092632
68	0.5458369775
69	0.5443901922
70	0.5436880132
71	0.5424269007
72	0.5421246966
73	0.5406926932
74	0.5396211613
75	0.5386924806
76	0.5376292179
77	0.5369004718
78	0.536305339
79	0.5355891696
80	0.5345568758
81	0.5331241924
82	0.5327047249
83	0.5318301003
84	0.5312451127
85	0.5299713007
86	0.5295048328
87	0.5285691798
88	0.5277935327
89	0.5269963894
90	0.5259994641
91	0.5252432549
92	0.5244114715
93	0.5234491256
94	0.5223938824
95	0.5217600134
96	0.5211890457
97	0.5207204072
98	0.5197835848
99	0.5194897808
100	0.5186983732
101	0.518080725
102	0.5175695528
103	0.517062303
104	0.5170613134
105	0.5166465869
106	0.5161162704
107	0.515759063
108	0.5149736083
109	0.5143617821
110	0.5137942281
111	0.5137558778
112	0.5132601303
113	0.5126590569
114	0.5123310642
115	0.5120396353
116	0.5108671486
117	0.5100705017
118	0.5095095468
119	0.5089674512
120	0.5079418764
121	0.5072145188
122	0.5067907948
123	0.5065258476
124	0.5059351025
125	0.5056660428
126	0.5050840572
127	0.5049204642
128	0.5043918917
129	0.5039025676
130	0.5036591758
131	0.5034376099
132	0.5031601573
133	0.5023597496
134	0.5022203769
135	0.5021361534
136	0.5013757116
137	0.5010872471
138	0.5000661905
139	0.499726793
140	0.4992301613
141	0.4990138121
142	0.4981601589
143	0.4979303627
144	0.4974697782
145	0.4970643263
146	0.4963145311
147	0.4954068319
148	0.4950686184
149	0.494943807
150	0.4944782735
151	0.4939842073
152	0.4936021091
153	0.4927097419
154	0.4922481084
155	0.4914498279
156	0.4910894052
157	0.490264326
158	0.4899750008
159	0.489584582
160	0.4892956839
161	0.4888513425
162	0.4887591329
163	0.4884955125
164	0.4882736762
165	0.4876013946
166	0.4875462486
167	0.4874039372
168	0.4872064058
169	0.4870621302
170	0.4861944808
171	0.4856595163
172	0.485235927
173	0.4844569549
174	0.4844569548
175	0.4840509533
176	0.4832300233
177	0.4830878616
178	0.4824381679
179	0.4820346509
180	0.4813944921
181	0.4811922367
182	0.4803465965
183	0.4798757
184	0.479193326
185	0.4788514458
186	0.4784445217
187	0.4781690255
188	0.4774625542
189	0.4766315044
190	0.476061261
191	0.475936827
192	0.4754023554
193	0.4751590814
194	0.4751426888
195	0.4747650161
196	0.4745392987
197	0.4740900433
198	0.4731968733
199	0.4730158431
200	0.4725711684
201	0.4720686343
202	0.471596635
203	0.4711807166
204	0.4705485334
205	0.4705201663
206	0.4704142492
207	0.4702640019
208	0.4700146501
209	0.46943546
210	0.4692917486
211	0.4691679006
212	0.4687641883
213	0.4684837386
214	0.4676851767
215	0.4675470099
216	0.4672013624
217	0.4667590509
218	0.4664207817
219	0.4661155917
220	0.4660605983
221	0.4658922333
222	0.4658628787
223	0.4653371602
224	0.4652211651
225	0.4646882588
226	0.4642405791
227	0.4639906752
228	0.4639645335
229	0.4635703242
230	0.4634791233
231	0.4632513377
232	0.4632289096
233	0.4627089802
234	0.4621598829
235	0.4620176899
236	0.4616040746
237	0.4610259062
238	0.4607921173
239	0.4606433495
240	0.4603147376
241	0.4600415535
242	0.4598051538
243	0.4592816987
244	0.4591537931
245	0.4589015702
246	0.4582895402
247	0.4577888841
248	0.4571181629
249	0.4567159473
250	0.4561083268
251	0.4556603585
252	0.4551728125
253	0.4551261951
254	0.4546251839
255	0.4542556139
256	0.4541379712
257	0.4539496312
258	0.4535195442
259	0.4533512027
260	0.4530220016
261	0.4528460049
262	0.452405193
263	0.4520409963
264	0.4518909591
265	0.4517342273
266	0.4515667271
267	0.4513754775
268	0.4511700887
269	0.4507655839
270	0.4506872477
271	0.4502178379
272	0.4497286668
273	0.4495074588
274	0.4489188985
275	0.4484007978
276	0.4480438599
277	0.4475717543
278	0.4471772231
279	0.4469113038
280	0.4463018821
281	0.4460183668
282	0.4459366989
283	0.4458411085
284	0.4456208601
285	0.4454056044
286	0.4451012378
287	0.4447921905
288	0.4446004371
289	0.4442784264
290	0.4436855623
291	0.4436509047
292	0.4434068358
293	0.4428609117
294	0.442558852
295	0.4421993112
296	0.4415882705
297	0.441278971
298	0.4409509138
299	0.4406604376
300	0.4403962864
301	0.4402990341
302	0.4398712428
303	0.4395855986
304	0.4392703437
305	0.4387422733
306	0.4384610107
307	0.4384502525
308	0.4379828284
309	0.4373527729
310	0.4371074472
311	0.4365706084
312	0.4363510685
313	0.436202697
314	0.4359227107
315	0.4357048679
316	0.4353233066
317	0.4347400712
318	0.4346124592
319	0.434174514
320	0.4339387812
321	0.4338196119
322	0.4336417865
323	0.4331126633
324	0.4329182162
325	0.4324564727
326	0.4323004318
327	0.4319404922
328	0.4316510838
329	0.4312291598
330	0.430998656
331	0.4307975042
332	0.4305041187
333	0.4301438085
334	0.4298339922
335	0.4297358666
336	0.4294201202
337	0.4291978772
338	0.4291810418
339	0.4291070539
340	0.4289152234
341	0.4287998412
342	0.428455145
343	0.4279795887
344	0.4276994514
345	0.4274813709
346	0.426879698
347	0.4267192298
348	0.4267049141
349	0.4264457188
350	0.4260226617
351	0.42574408
352	0.4251254651
353	0.4250256011
354	0.4247376478
355	0.4245394101
356	0.4241229315
357	0.4239330398
