iter	Passed	Remaining
0	27	27048
1	56	28354
2	90	30189
3	121	30207
4	153	30511
5	183	30326
6	205	29095
7	235	29218
8	266	29371
9	292	28915
10	321	28863
11	352	29032
12	381	28949
13	413	29087
14	442	29065
15	473	29098
16	502	29054
17	521	28473
18	552	28541
19	582	28553
20	616	28743
21	647	28799
22	676	28738
23	706	28743
24	737	28755
25	767	28765
26	797	28723
27	828	28761
28	858	28733
29	889	28757
30	924	28886
31	956	28943
32	989	28988
33	1004	28531
34	1036	28585
35	1067	28575
36	1099	28604
37	1126	28529
38	1156	28495
39	1185	28451
40	1217	28472
41	1248	28474
42	1277	28423
43	1307	28412
44	1336	28369
45	1369	28401
46	1399	28368
47	1430	28363
48	1459	28322
49	1488	28280
50	1510	28100
51	1541	28101
52	1572	28092
53	1601	28049
54	1643	28236
55	1684	28399
56	1723	28519
57	1760	28587
58	1790	28551
59	1820	28526
60	1851	28502
61	1880	28452
62	1909	28405
63	1939	28361
64	1972	28373
65	2003	28346
66	2034	28324
67	2064	28291
68	2095	28271
69	2124	28223
70	2157	28233
71	2188	28201
72	2203	27975
73	2234	27956
74	2263	27919
75	2294	27896
76	2324	27864
77	2354	27836
78	2383	27791
79	2413	27757
80	2443	27725
81	2474	27700
82	2504	27674
83	2537	27666
84	2567	27636
85	2596	27590
86	2628	27588
87	2696	27943
88	2729	27937
89	2762	27936
90	2793	27901
91	2824	27878
92	2855	27850
93	2888	27837
94	2919	27814
95	2951	27794
96	2984	27784
97	3016	27768
98	3049	27749
99	3080	27728
100	3113	27713
101	3145	27693
102	3178	27684
103	3212	27673
104	3223	27476
105	3254	27446
106	3285	27422
107	3315	27383
108	3347	27360
109	3379	27345
110	3410	27317
111	3422	27134
112	3453	27106
113	3484	27078
114	3514	27044
115	3545	27015
116	3577	26995
117	3610	26983
118	3644	26979
119	3679	26982
120	3713	26974
121	3745	26954
122	3779	26944
123	3812	26934
124	3845	26918
125	3876	26889
126	3908	26866
127	3939	26838
128	3973	26829
129	4005	26802
130	4037	26784
131	4068	26752
132	4100	26727
133	4134	26718
134	4167	26701
135	4201	26691
136	4237	26691
137	4270	26677
138	4305	26667
139	4339	26655
140	4374	26650
141	4407	26632
142	4442	26622
143	4474	26598
144	4508	26587
145	4542	26572
146	4578	26566
147	4612	26554
148	4647	26545
149	4681	26526
150	4714	26507
151	4747	26487
152	4780	26464
153	4813	26443
154	4846	26423
155	4879	26399
156	4911	26373
157	4969	26482
158	5012	26510
159	5051	26519
160	5082	26484
161	5112	26447
162	5144	26415
163	5175	26380
164	5206	26346
165	5237	26311
166	5267	26275
167	5300	26248
168	5331	26217
169	5364	26189
170	5399	26175
171	5432	26149
172	5466	26132
173	5500	26110
174	5511	25983
175	5544	25960
176	5578	25937
177	5610	25911
178	5644	25888
179	5679	25872
180	5711	25842
181	5745	25821
182	5778	25799
183	5812	25776
184	5847	25761
185	5879	25730
186	5911	25702
187	5941	25664
188	5974	25637
189	6009	25617
190	6041	25590
191	6074	25561
192	6106	25532
193	6139	25506
194	6172	25482
195	6206	25457
196	6237	25425
197	6269	25394
198	6302	25366
199	6334	25336
200	6366	25306
201	6397	25273
202	6427	25235
203	6459	25205
204	6489	25167
205	6520	25131
206	6550	25094
207	6580	25057
208	6610	25019
209	6641	24984
210	6674	24958
211	6705	24922
212	6736	24890
213	6766	24852
214	6797	24819
215	6826	24779
216	6857	24744
217	6887	24707
218	6918	24673
219	6949	24638
220	6981	24608
221	7011	24571
222	7042	24537
223	7074	24507
224	7104	24469
225	7135	24436
226	7164	24396
227	7195	24362
228	7226	24328
229	7256	24292
230	7286	24256
231	7315	24216
232	7346	24183
233	7377	24150
234	7410	24124
235	7440	24087
236	7471	24053
237	7505	24028
238	7537	23999
239	7569	23971
